iter	Logloss	Accuracy
457	0.3711900241	0.8300352815
458	0.3710756799	0.8301886792
459	0.3709527776	0.8300352815
460	0.3709194509	0.8295750882
461	0.3707722881	0.830342077
462	0.3706702978	0.830342077
463	0.3706349209	0.830342077
464	0.3705503927	0.8300352815
465	0.3703850897	0.830342077
466	0.3703112134	0.8301886792
467	0.3702579581	0.830342077
468	0.3700871961	0.8304954748
469	0.3699565672	0.8306488725
470	0.3698144402	0.8306488725
471	0.3697332843	0.8306488725
472	0.3696508572	0.8306488725
473	0.3695997336	0.8308022703
474	0.3694194109	0.8308022703
475	0.3692125366	0.8314158613
476	0.3690981473	0.8314158613
477	0.3690455294	0.8314158613
478	0.3689478368	0.8312624636
479	0.3688850925	0.8314158613
480	0.3688749025	0.8314158613
481	0.368728688	0.8315692591
482	0.3686362174	0.8317226568
483	0.3685784404	0.8315692591
484	0.3684666586	0.8311090658
485	0.3682528148	0.830955668
486	0.36804806	0.8314158613
487	0.3679020722	0.8314158613
488	0.3677137377	0.8318760546
489	0.367683744	0.8318760546
490	0.3673727188	0.8315692591
491	0.3672521984	0.8320294524
492	0.3672042008	0.8321828501
493	0.3669905227	0.8324896457
494	0.3668989769	0.8327964412
495	0.3666354557	0.8331032367
496	0.3665494886	0.8331032367
497	0.3664499882	0.8332566345
498	0.3663423863	0.8332566345
499	0.366254904	0.8332566345
500	0.3661478462	0.8334100322
501	0.3660433086	0.8338702255
502	0.3659398486	0.8338702255
503	0.3658723527	0.8340236233
504	0.3658241257	0.8337168277
505	0.3656072913	0.8331032367
506	0.3654895021	0.8334100322
507	0.3652695925	0.8332566345
508	0.3650126092	0.8334100322
509	0.3649825838	0.8334100322
510	0.3648790407	0.8334100322
511	0.3647782711	0.8334100322
512	0.3647003851	0.8332566345
513	0.3645055321	0.8334100322
514	0.3643917314	0.8334100322
515	0.3642793435	0.8332566345
516	0.3642061607	0.8331032367
517	0.363971508	0.8331032367
518	0.3638738222	0.8331032367
519	0.3637644992	0.8331032367
520	0.3637590568	0.8331032367
521	0.3636960481	0.8329498389
522	0.3635619471	0.8331032367
523	0.3635410497	0.8329498389
524	0.3635043101	0.8334100322
525	0.3634162908	0.8337168277
526	0.3633239962	0.8340236233
527	0.3632589586	0.8340236233
528	0.3631217778	0.8343304188
529	0.3630287874	0.8343304188
530	0.3628899973	0.8349440098
531	0.3627643655	0.8350974076
532	0.3626086461	0.8349440098
533	0.3625362881	0.8349440098
534	0.3625120514	0.8347906121
535	0.3624167169	0.8346372143
536	0.3623190804	0.8349440098
537	0.3621482341	0.8349440098
538	0.3620511057	0.8349440098
539	0.3619443069	0.8352508053
540	0.3618587382	0.8354042031
541	0.3617656668	0.8354042031
542	0.3617150723	0.8354042031
543	0.3616356911	0.8352508053
544	0.361557406	0.8354042031
545	0.3613991871	0.8352508053
546	0.3613399016	0.8349440098
547	0.3612095981	0.8347906121
548	0.3609954907	0.8350974076
549	0.3609722008	0.8350974076
550	0.3607985252	0.8354042031
551	0.3606820267	0.8357109986
552	0.3605511654	0.8358643964
553	0.3604455748	0.8358643964
554	0.3604139401	0.8358643964
555	0.3603478012	0.8358643964
556	0.3601848091	0.8358643964
557	0.3600792697	0.8358643964
558	0.3599307097	0.8357109986
559	0.3596779359	0.8361711919
560	0.3596334607	0.8361711919
561	0.3595465236	0.8361711919
562	0.3594568248	0.8361711919
563	0.3593866601	0.8358643964
564	0.3592829636	0.8360177941
565	0.3592264336	0.8358643964
566	0.3591282436	0.8361711919
567	0.3591061816	0.8361711919
568	0.35903254	0.8360177941
569	0.3589746011	0.8361711919
570	0.3589415605	0.8361711919
571	0.3588726053	0.8363245897
572	0.3587847838	0.8364779874
573	0.358724902	0.8364779874
574	0.3586814299	0.8364779874
575	0.3586735044	0.8364779874
576	0.3586166755	0.8364779874
577	0.3586083047	0.8364779874
578	0.3585359728	0.8363245897
579	0.3584788799	0.8363245897
580	0.358305652	0.8364779874
581	0.3582414858	0.8360177941
582	0.3580378292	0.8364779874
583	0.3578841478	0.8363245897
584	0.3577999611	0.8360177941
585	0.3576049193	0.8364779874
586	0.3574491669	0.8367847829
587	0.3573900667	0.8370915785
588	0.3573616745	0.8370915785
589	0.3572079501	0.8372449762
590	0.3571030737	0.8372449762
591	0.357077944	0.8370915785
592	0.3570329127	0.8370915785
593	0.3567585528	0.8372449762
594	0.3566258081	0.837398374
595	0.3565435645	0.8375517717
596	0.3564513987	0.8375517717
597	0.3563773727	0.8375517717
598	0.3562797439	0.8372449762
599	0.3561987526	0.837398374
600	0.3560777455	0.837398374
601	0.3560559077	0.837398374
602	0.3558966443	0.837398374
603	0.3558602709	0.837398374
604	0.3557731916	0.8375517717
605	0.3557204169	0.8377051695
606	0.3555807472	0.8378585673
607	0.355534553	0.8378585673
608	0.3554619705	0.8383187605
609	0.3553606298	0.8383187605
610	0.355349359	0.8383187605
611	0.3552536523	0.8384721583
612	0.3551231142	0.8381653628
613	0.3550530186	0.8383187605
614	0.3549698238	0.8384721583
615	0.354862632	0.8384721583
616	0.3548291282	0.8384721583
617	0.3547782258	0.8384721583
618	0.3547627908	0.8384721583
619	0.3547362014	0.8384721583
